Id,ProbToYes
1,0.354582137
2,0.558792846
3,0.827993772
4,0.027900002
5,0.551061604
6,0.376725711
7,0.039032613
8,0.932901594
9,0.184902291
10,0.65861674
11,0.538934043
12,0.820725712
13,0.781690306
14,0.362441191
15,0.748864002
16,0.100721303
17,0.693833326
18,0.910060727
19,0.514317451
20,0.977433719
21,0.060828895
22,0.540045347
23,0.596159433
24,0.560495544
25,0.628308297
26,0.69732613
27,0.680066059
28,0.094423032
29,0.687835556
30,0.633556053
31,0.093366279
32,0.507043002
33,0.834364232
34,0.999690178
35,0.878363489
36,0.280874142
37,0.629946038
38,0.609831433
39,0.720572603
40,0.178861117
41,0.390181851
42,0.385761708
43,0.75616394
44,0.154441058
45,0.477064204
46,0.473004094
47,0.379743468
48,0.798213956
49,0.665823104
50,0.47858662
51,0.689444845
52,0.251238843
53,0.554310083
54,0.448580696
55,0.767536022
56,0.813295832
57,0.749387694
58,0.939559439
59,0.682094533
60,0.767364444
61,0.804950309
62,0.104850435
63,0.213178832
64,0.247790185
65,0.591919646
66,0.794355403
67,0.460371602
68,0.567523231
69,0.540791462
70,0.988898551
71,0.612633165
72,0.469715032
73,0.884076424
74,0.769848034
75,0.964980634
76,0.194947012
77,0.859875525
78,0.234609134
79,0.183667121
80,0.423955088
81,0.981267623
82,0.741990546
83,0.865080491
84,0.478679035
85,0.067709695
86,0.10781165
87,0.922125997
88,0.850454451
89,0.78775641
90,0.745526844
91,0.06008159
92,0.30202052
93,0.20458163
94,0.381688831
95,0.278029873
96,0.589605387
97,0.035488598
98,0.607494581
99,0.252464346
100,0.434941316
101,0.120803485
102,0.238922563
103,0.829866855
104,0.864854091
105,0.122426886
106,0.048928607
107,0.31624943
108,0.92582932
109,0.332123032
110,0.883569333
111,0.53720661
112,0.740349399
113,0.820872931
114,0.227766523
115,0.733175156
116,0.549704975
117,0.991252733
118,0.460823867
119,0.327587525
120,0.552687726
121,0.058659329
122,0.011591917
123,0.222249341
124,0.04323311
125,0.630926489
126,0.925613037
127,0.689422596
128,0.24848948
129,0.820768391
130,0.976564943
131,0.683541187
132,0.748239481
133,0.128904748
134,0.4518643
135,0.600776222
136,0.957432909
137,0.837732069
138,0.556773596
139,0.832079619
140,0.909489535
141,0.532182868
142,0.916084375
143,0.519029618
144,0.06599104
145,0.217852293
146,0.841267875
147,0.028783606
148,0.480975894
149,0.979004239
150,0.576605641
151,0.010314998
152,0.110116331
153,0.341197819
154,0.002033247
155,0.956073063
156,0.848710559
157,0.646038824
158,0.08736464
159,0.961840799
160,0.367650821
161,0.759560581
162,0.254835024
163,0.267040586
164,0.78871383
165,0.14000907
166,0.07286654
167,0.634108533
168,0.570319707
169,0.974716182
170,0.091573914
171,0.352397709
172,0.851785323
173,0.364022886
174,0.187002959
175,0.653734955
176,0.25696359
177,0.098048412
178,0.80860861
179,0.447401131
180,0.213977692
181,0.007141003
182,0.226079916
183,0.403580919
184,0.892980406
185,0.510641819
186,0.616086837
187,0.015564162
188,0.347580721
189,0.635163818
190,0.943773512
191,0.102791155
192,0.239734882
193,0.343703631
194,0.215490514
195,0.990403001
196,0.901501981
197,0.984357483
198,0.396490796
199,0.319108192
200,0.582583536
201,0.316153316
202,0.41288389
203,0.959142192
204,0.099804477
205,0.217104508
206,0.767681904
207,0.50896385
208,0.172665089
209,0.577252763
210,0.689421766
211,0.091395984
212,0.249751106
213,0.358767111
214,0.904448752
215,0.677192677
216,0.741986176
217,0.577685779
218,0.195332041
219,0.488948458
220,0.905471586
221,0.622334438
222,0.454158272
223,0.427438755
224,0.61254521
225,0.764995605
226,0.081454933
227,0.23982571
228,0.428983905
229,0.805450694
230,0.90134967
231,0.961517066
232,0.26127698
233,0.713999858
234,0.983114499
235,0.429014756
236,0.597462496
237,0.64643725
238,0.068584739
239,0.299895953
240,0.356938696
241,0.129981105
242,0.225969576
243,0.859204353
244,0.13902617
245,0.217047801
246,0.379285494
247,0.574033713
248,0.012518333
249,0.533091737
250,0.515823344
251,0.706803841
252,0.224741022
253,0.327477237
254,0.631548087
255,0.50671822
256,0.053859023
257,0.134079756
258,0.104926422
259,0.301040524
260,0.46060165
261,0.015673468
262,0.172500197
263,0.16778322
264,0.833955149
265,0.985489966
266,0.358934335
267,0.938380215
268,0.13286959
269,0.806851339
270,0.81977547
271,0.349101952
272,0.20800742
273,0.310783334
274,0.644121599
275,0.31448174
276,0.67854193
277,0.304326096
278,0.207054071
279,0.79591515
280,0.293695443
281,0.606736251
282,0.122991114
283,0.367537017
284,0.64935293
285,0.70378721
286,0.188392322
287,0.804695662
288,0.071272319
289,0.440634242
290,0.171633267
291,0.984522546
292,0.868025202
293,0.978747092
294,0.279688843
295,0.183885937
296,0.612243151
297,0.565622233
298,0.13884361
299,0.052979152
300,0.025559572
301,0.785948718
302,0.171435517
303,0.850311308
